customer_id,name,email,country,age,age_group,signup_date,marketing_opt_in,total_orders,total_spend_usd,avg_order_value,avg_discount_pct,first_order_date,last_order_date,preferred_payment,preferred_device_ord,preferred_source,top_category_bought,avg_rating_given,total_sessions,preferred_device_sess,preferred_source_sess,first_session_date,last_session_date,has_abandoned_cart,clv_tier,is_repeat_customer
27,Isabel Flores,nyork@example.net,IN,35,35-44,2024-05-04,False,2,75.13,37.56,7.5,2022-08-29T22:12:31,2023-12-18T19:34:52,card,desktop,direct,Sports,,9,mobile,direct,2022-06-01T15:03:45,2025-10-14T18:31:22,0,low,1
28,Jason Graham,reedjanet@example.net,US,24,18-24,2023-10-30,True,1,44.21,44.21,15.0,2020-08-25T23:11:23,2020-08-25T23:11:23,card,desktop,organic,Fashion,,6,desktop,organic,2020-08-25T21:08:23,2024-02-24T21:09:19,0,low,0
29,Michelle Carey,george08@example.org,FR,62,55+,2023-05-11,True,1,16.8,16.8,15.0,2020-10-15T07:15:05,2020-10-15T07:15:05,card,tablet,social,Books,,5,mobile,direct,2020-05-06T14:50:48,2025-05-10T08:23:13,0,low,0
30,Paul Brown,travis72@example.com,MX,47,45-54,2020-10-21,True,2,369.64,184.82,15.0,2020-05-23T22:19:47,2025-02-15T20:12:20,card,mobile,organic,Beauty,,10,desktop,organic,2020-05-14T09:52:10,2025-05-17T18:04:08,0,medium,1
31,Tina Robertson,justinlewis@example.net,US,71,55+,2021-10-02,False,2,296.48,148.24,2.5,2025-02-13T23:55:31,2025-08-14T01:31:31,card,desktop,email,Beauty,4.5,6,desktop,social,2021-04-26T20:49:23,2025-08-13T23:55:31,0,medium,1
32,Christopher Mcmillan,henryvickie@example.net,MX,69,55+,2020-11-27,True,1,75.05,75.05,0.0,2023-05-22T12:53:14,2023-05-22T12:53:14,card,mobile,organic,Home & Kitchen,,8,mobile,organic,2020-11-02T07:03:32,2025-07-03T16:17:54,0,low,0
33,Lori Kelly,vmcfarland@example.org,GB,18,18-24,2022-11-08,False,0,0.0,0.0,0.0,,,,,,,,8,mobile,direct,2020-04-02T16:22:23,2024-12-21T16:51:26,1,no_purchase,0
34,Matthew Watson,jose88@example.org,MX,28,25-34,2020-08-13,False,6,464.48,77.41,5.0,2020-03-29T18:39:35,2025-07-16T15:48:20,card,mobile,direct,Home & Kitchen,4.0,12,mobile,organic,2020-03-29T17:29:35,2025-08-25T17:52:51,0,medium,1
35,Stephen Hall,mmartinez@example.net,PL,60,55+,2025-08-17,True,3,253.84,84.61,5.0,2023-09-16T13:41:00,2025-06-19T08:45:39,card,desktop,direct,Fashion,,8,mobile,organic,2021-05-18T04:16:22,2025-06-19T07:08:39,0,medium,1
36,Maria Bailey,aimee78@example.net,US,24,18-24,2020-05-21,False,3,183.79,61.26,11.67,2020-07-06T17:39:42,2023-10-05T22:05:24,card,desktop,organic,Books,,6,mobile,organic,2020-07-06T14:59:42,2024-04-09T13:50:00,0,low,1
37,Joel Norris,beth25@example.com,FR,59,55+,2020-06-26,True,2,239.33,119.66,10.0,2022-03-22T19:25:53,2022-10-31T17:29:39,card,mobile,direct,Electronics,,7,mobile,organic,2021-12-06T15:01:41,2025-10-23T10:32:46,0,medium,1
38,Melissa Romero,kevin92@example.net,CA,22,18-24,2024-12-18,True,0,0.0,0.0,0.0,,,,,,,,5,mobile,direct,2020-10-28T13:38:10,2023-02-27T12:04:08,1,no_purchase,0
39,David Nguyen,eugene53@example.com,MX,26,25-34,2022-04-13,False,3,358.38,119.46,10.0,2020-03-05T19:51:11,2023-02-05T04:33:30,card,mobile,organic,Fashion,,4,desktop,organic,2020-03-05T18:11:11,2025-08-12T02:38:09,0,medium,1
40,Monica Garcia,gonzalezedward@example.org,DE,64,55+,2023-01-09,True,5,1025.31,205.06,2.0,2020-04-09T01:15:58,2025-04-24T07:06:00,card,desktop,direct,Sports,3.2,9,desktop,email,2020-04-09T00:18:58,2025-04-24T05:33:00,0,high,1
41,Morgan Graham,danielpruitt@example.com,BR,34,25-34,2023-02-21,True,0,0.0,0.0,0.0,,,,,,,,4,mobile,social,2020-03-15T20:08:59,2025-06-14T22:29:27,1,no_purchase,0
42,James Johnson,bdickerson@example.net,NL,25,25-34,2021-05-31,False,2,63.13,31.56,10.0,2020-05-02T06:09:49,2023-04-06T14:58:17,card,desktop,direct,Books,5.0,5,desktop,direct,2020-05-02T04:58:49,2023-04-06T14:17:17,0,low,1
43,William Phillips,thomascassandra@example.com,GB,42,35-44,2021-05-30,False,3,675.04,225.01,3.33,2021-01-26T13:36:47,2025-09-01T21:34:22,card,mobile,direct,Electronics,,6,desktop,direct,2020-04-30T23:13:05,2025-09-01T19:06:22,0,medium,1
44,David Farrell,qsingleton@example.net,CA,30,25-34,2020-04-03,False,0,0.0,0.0,0.0,,,,,,,,5,desktop,direct,2021-01-09T03:17:55,2023-07-25T07:29:01,1,no_purchase,0
45,Sherry May,erinmay@example.com,MX,33,25-34,2023-04-08,False,3,383.31,127.77,5.0,2023-04-04T01:51:39,2024-07-27T08:01:52,card,desktop,direct,Toys,5.0,6,desktop,direct,2022-01-06T23:54:06,2024-11-25T11:58:37,0,medium,1
46,David Haynes,zsanchez@example.net,GB,18,18-24,2024-01-05,True,2,72.24,36.12,0.0,2023-09-20T09:00:20,2025-09-30T13:18:07,cod,mobile,direct,Books,3.0,6,mobile,organic,2021-06-10T08:47:11,2025-09-30T12:29:07,0,low,1
47,Brooke Atkinson,ngibson@example.com,DE,41,35-44,2025-08-23,True,0,0.0,0.0,0.0,,,,,,,,8,mobile,direct,2020-01-07T13:27:44,2025-09-22T11:36:52,1,no_purchase,0
48,Mary Salas,kimberly67@example.org,ES,49,45-54,2020-04-01,True,2,441.99,221.0,0.0,2020-03-24T21:37:31,2025-02-08T15:28:05,card,mobile,email,Fashion,4.33,8,mobile,direct,2020-03-24T19:37:31,2025-02-08T13:40:05,0,medium,1
49,Joshua Martin,aprilgarcia@example.net,SE,49,45-54,2023-11-30,True,3,580.52,193.51,16.67,2021-10-31T13:16:17,2024-04-04T02:45:45,card,desktop,direct,Beauty,4.0,8,desktop,direct,2020-08-30T03:36:33,2024-04-04T00:38:45,0,medium,1
50,Daniel Alvarez,fowlermaria@example.net,ES,29,25-34,2020-12-31,False,1,186.6,186.6,0.0,2021-04-03T20:59:19,2021-04-03T20:59:19,card,mobile,organic,Fashion,,4,desktop,direct,2021-04-03T18:46:19,2025-10-24T09:07:50,0,low,0
51,Patrick Bryant,philipfarmer@example.org,FR,25,25-34,2023-08-16,True,2,267.34,133.67,10.0,2025-02-06T06:16:45,2025-09-18T23:26:09,card,mobile,email,Home & Kitchen,,7,desktop,organic,2021-10-24T15:32:04,2025-09-18T21:48:09,0,medium,1
52,Lisa Walsh,joshua60@example.org,DE,48,45-54,2022-04-06,True,2,108.4,54.2,15.0,2022-10-27T07:02:19,2023-07-20T18:01:58,card,desktop,organic,Books,,5,mobile,organic,2020-11-26T09:26:20,2023-07-21T09:13:35,0,low,1
53,Thomas Fuller,betty13@example.com,SE,22,18-24,2022-11-17,True,0,0.0,0.0,0.0,,,,,,,,6,desktop,direct,2021-10-22T11:14:52,2025-05-25T08:53:42,1,no_purchase,0
54,Teresa Rose,virginiayu@example.com,AE,54,45-54,2024-02-12,False,2,180.43,90.22,7.5,2021-01-17T15:37:38,2022-06-01T12:39:16,card,desktop,organic,Books,,7,desktop,organic,2020-11-22T13:10:13,2025-07-27T15:59:11,0,low,1
55,Carl Frank,taylorhart@example.org,US,45,45-54,2023-03-14,True,2,351.59,175.8,7.5,2021-07-29T17:44:05,2023-11-13T19:01:25,card,desktop,direct,Books,,6,mobile,direct,2021-07-29T16:02:05,2023-12-23T16:51:54,0,medium,1
56,Brianna Wade,smcdonald@example.net,NL,50,45-54,2022-01-14,False,3,220.52,73.51,0.0,2021-11-26T05:04:02,2024-01-12T20:28:44,card,desktop,direct,Books,,7,mobile,direct,2021-11-26T03:13:02,2025-10-11T19:29:34,0,medium,1
57,Penny Harrison,josephbennett@example.com,US,48,45-54,2021-10-21,True,1,97.38,97.38,0.0,2023-08-20T21:19:06,2023-08-20T21:19:06,card,mobile,organic,Home & Kitchen,,2,mobile,organic,2023-07-18T09:36:06,2023-08-20T20:10:06,0,low,0
58,Miss Karen Trujillo,michael45@example.com,BR,26,25-34,2023-12-03,True,2,246.35,123.18,10.0,2020-11-14T09:37:07,2023-07-09T07:09:12,card,desktop,organic,Home & Kitchen,,8,desktop,direct,2020-02-19T00:43:12,2024-07-17T07:17:41,0,medium,1
59,Mr. Bradley Prince,sarahdickerson@example.org,AU,24,18-24,2023-11-08,True,1,81.92,81.92,10.0,2022-02-28T18:05:27,2022-02-28T18:05:27,card,tablet,organic,Home & Kitchen,,8,mobile,organic,2020-01-03T03:19:16,2025-07-05T21:26:30,0,low,0
60,Justin Nguyen,alyssareed@example.net,BR,22,18-24,2025-08-21,True,3,191.16,63.72,8.33,2020-04-16T11:47:24,2023-10-31T02:12:23,card,desktop,direct,Beauty,4.5,10,desktop,direct,2020-04-03T19:02:08,2025-04-28T16:30:21,0,low,1
61,Adam Lynn,john19@example.org,ES,29,25-34,2024-01-15,True,3,288.47,96.16,3.33,2022-09-02T04:09:02,2025-09-06T19:27:19,card,mobile,direct,Beauty,4.0,10,desktop,direct,2020-02-25T10:54:21,2025-09-26T14:13:25,0,medium,1
62,Charlene Hayes,jasonpowell@example.net,IN,50,45-54,2025-05-03,False,3,393.98,131.33,10.0,2020-05-21T08:09:04,2021-06-29T08:52:04,card,mobile,organic,Beauty,3.25,8,mobile,email,2020-03-21T15:20:23,2025-04-01T11:15:50,0,medium,1
63,Steven Franklin,barnettpatricia@example.net,ES,65,55+,2025-06-22,True,1,239.32,239.32,10.0,2024-04-07T13:52:34,2024-04-07T13:52:34,card,desktop,direct,Fashion,,6,desktop,direct,2023-08-01T08:11:25,2025-01-16T06:13:46,0,medium,0
64,Christina Schwartz,harmonsamuel@example.org,GB,49,45-54,2025-07-07,False,1,32.27,32.27,5.0,2023-10-02T07:39:08,2023-10-02T07:39:08,wallet,desktop,organic,Books,,2,desktop,organic,2023-10-02T06:31:08,2024-07-20T16:21:30,0,low,0
65,Deborah Young,thomasgrant@example.com,IN,27,25-34,2021-03-08,True,1,64.69,64.69,15.0,2023-11-10T20:23:35,2023-11-10T20:23:35,card,desktop,organic,Sports,,8,mobile,organic,2023-04-12T01:30:42,2025-04-18T12:56:18,0,low,0
66,Charles Henry,mmartin@example.net,AE,72,55+,2022-09-27,False,2,311.93,155.96,10.0,2020-01-11T07:45:55,2022-12-03T05:04:58,card,mobile,direct,Beauty,,6,desktop,direct,2020-01-11T05:58:55,2022-12-24T16:55:01,0,medium,1
67,Ryan Mcdonald,dortega@example.com,MX,29,25-34,2025-08-01,False,0,0.0,0.0,0.0,,,,,,,,5,desktop,direct,2020-05-27T18:11:55,2024-12-12T06:54:43,1,no_purchase,0
68,Zachary Lowe,danafields@example.org,PL,75,55+,2020-02-18,False,2,196.32,98.16,12.5,2020-12-28T14:08:52,2021-08-23T10:56:19,card,mobile,organic,Books,,8,desktop,organic,2020-04-20T00:40:45,2025-10-14T03:23:32,0,low,1
69,Angel Doyle,lindsey18@example.com,CA,20,18-24,2023-10-28,True,2,502.8,251.4,20.0,2020-05-05T08:42:44,2025-05-19T20:44:34,card,desktop,direct,Beauty,4.5,6,desktop,direct,2020-05-05T06:31:44,2025-05-19T18:15:34,0,medium,1
70,Dr. Andrew Robbins,matthewhensley@example.com,BR,37,35-44,2021-03-12,False,3,132.72,44.24,6.67,2020-03-18T23:11:21,2023-02-12T09:38:59,card,desktop,organic,Books,4.0,6,mobile,direct,2020-03-18T21:30:21,2025-09-02T19:25:42,0,low,1
71,Richard Spencer,justinpeterson@example.com,CA,22,18-24,2024-12-17,True,0,0.0,0.0,0.0,,,,,,,,3,mobile,direct,2020-08-12T09:15:09,2023-10-24T14:10:01,1,no_purchase,0
72,Samantha Carter,gpowell@example.com,US,41,35-44,2025-10-10,False,2,215.5,107.75,0.0,2022-02-14T21:48:32,2024-07-13T01:25:11,card,desktop,email,Books,5.0,9,mobile,paid,2020-08-13T07:12:36,2025-09-14T06:30:58,0,medium,1
73,Haley Harris,vconner@example.org,US,41,35-44,2021-12-25,True,2,367.86,183.93,5.0,2020-09-04T08:53:42,2023-08-03T16:25:32,card,desktop,organic,Fashion,,7,desktop,organic,2020-09-04T08:13:42,2025-03-02T03:42:27,0,medium,1
74,Edwin Willis,muellerbilly@example.net,IN,31,25-34,2024-03-08,False,5,429.62,85.92,6.0,2021-02-22T06:16:53,2024-12-07T13:26:11,card,mobile,email,Fashion,,10,mobile,email,2020-08-26T15:38:33,2025-04-02T04:53:06,0,medium,1
75,Jennifer Andrews,aevans@example.org,CA,48,45-54,2021-11-03,True,1,589.54,589.54,15.0,2025-08-14T15:40:25,2025-08-14T15:40:25,card,mobile,email,Electronics,3.75,6,mobile,direct,2020-02-27T04:38:15,2025-08-14T13:55:25,0,medium,0
76,Thomas Franklin,mccormickrenee@example.net,GB,66,55+,2023-11-19,True,3,306.15,102.05,10.0,2020-03-23T17:58:05,2022-11-02T01:04:40,card,desktop,organic,Beauty,4.0,6,desktop,organic,2020-03-23T17:31:05,2023-12-06T19:51:07,0,medium,1
77,Charles Nunez,lewiselizabeth@example.com,US,44,35-44,2023-06-18,False,0,0.0,0.0,0.0,,,,,,,,4,desktop,direct,2020-02-03T18:59:58,2022-10-25T05:11:47,1,no_purchase,0
78,Carrie Alvarado,fishercraig@example.net,SE,67,55+,2020-03-12,True,2,362.26,181.13,0.0,2023-07-04T09:30:13,2025-03-27T22:28:46,card,desktop,organic,Beauty,,5,mobile,organic,2021-05-07T14:00:27,2025-03-27T22:08:46,0,medium,1
79,Shane Taylor,anna44@example.org,US,69,55+,2020-01-01,True,3,887.65,295.88,5.0,2022-12-06T16:43:56,2024-06-09T11:09:22,card,desktop,email,Beauty,,5,mobile,direct,2021-11-03T19:32:59,2024-06-09T09:06:22,0,medium,1
80,Fernando Jordan,jimenezalexa@example.org,ES,53,45-54,2023-11-12,False,2,367.45,183.73,10.0,2021-01-20T16:30:28,2025-09-25T20:21:03,cod,desktop,direct,Home & Kitchen,4.0,6,desktop,organic,2020-09-25T11:50:21,2025-09-25T17:29:03,0,medium,1
81,Jennifer Dominguez,agriffin@example.net,GB,53,45-54,2021-03-03,True,5,334.92,66.98,6.0,2020-12-22T22:01:20,2024-07-07T21:42:21,card,mobile,organic,Books,5.0,10,mobile,organic,2020-12-22T20:10:20,2024-07-07T20:00:21,0,medium,1
82,Kevin Pace,thomasgutierrez@example.org,US,26,25-34,2023-07-16,False,1,37.63,37.63,15.0,2024-05-05T23:37:34,2024-05-05T23:37:34,cod,desktop,social,Books,,4,desktop,organic,2022-09-27T03:55:42,2025-05-16T11:42:09,0,low,0
83,John Huang,simmonsalbert@example.net,PL,74,55+,2021-02-24,False,0,0.0,0.0,0.0,,,,,,,,3,tablet,organic,2023-10-26T11:52:44,2025-08-08T13:49:10,1,no_purchase,0
84,Vincent Davis,andersonandrew@example.net,GB,28,25-34,2021-06-05,True,0,0.0,0.0,0.0,,,,,,,,5,mobile,direct,2020-10-20T05:33:56,2025-09-09T17:36:33,1,no_purchase,0
85,Joanne Manning,diazjulie@example.net,BR,34,25-34,2023-11-06,False,1,75.05,75.05,0.0,2022-02-20T18:00:50,2022-02-20T18:00:50,cod,desktop,social,Home & Kitchen,2.0,6,mobile,direct,2020-09-01T16:55:39,2025-01-18T01:22:03,0,low,0
86,Monica Miller,qmurray@example.org,CA,27,25-34,2025-08-17,False,1,245.08,245.08,10.0,2022-06-24T11:09:03,2022-06-24T11:09:03,paypal,desktop,organic,Home & Kitchen,,8,mobile,direct,2020-09-24T11:46:44,2024-09-11T00:59:37,0,medium,0
87,Alexandra Smith,pricelarry@example.net,SG,63,55+,2022-04-15,True,0,0.0,0.0,0.0,,,,,,,,4,desktop,direct,2020-09-11T19:25:30,2024-05-19T02:13:57,1,no_purchase,0
88,Scott Tucker,stewartstacy@example.net,FR,70,55+,2020-06-09,True,0,0.0,0.0,0.0,,,,,,,,2,mobile,organic,2020-06-29T06:02:32,2025-04-09T11:01:30,1,no_purchase,0
89,Michael Thomas,coxdeanna@example.net,MX,22,18-24,2020-02-24,True,0,0.0,0.0,0.0,,,,,,,,2,desktop,email,2020-03-28T08:57:45,2021-06-04T07:21:04,1,no_purchase,0
90,Karen Strickland,yduffy@example.net,MX,44,35-44,2021-06-28,True,0,0.0,0.0,0.0,,,,,,,,2,desktop,email,2022-09-15T14:01:46,2024-05-13T14:20:29,1,no_purchase,0
91,Douglas Howell,molly02@example.net,BR,69,55+,2023-03-16,False,5,727.71,145.54,8.0,2021-12-14T09:44:09,2025-08-20T20:03:21,card,mobile,direct,Home & Kitchen,5.0,11,desktop,organic,2021-04-02T07:39:18,2025-08-20T19:42:21,0,medium,1
92,Lauren Bray,nicholascohen@example.net,PL,46,45-54,2024-05-12,True,4,344.28,86.07,3.75,2021-12-01T12:23:30,2025-08-30T12:22:02,card,mobile,direct,Beauty,4.25,13,mobile,organic,2020-01-12T08:18:25,2025-08-30T10:50:02,0,medium,1
93,Cynthia Hayes,morrisjoseph@example.org,NL,61,55+,2025-08-06,False,2,126.78,63.39,2.5,2020-05-04T07:20:12,2021-06-26T01:56:26,card,desktop,organic,Beauty,,8,desktop,organic,2020-05-04T05:45:12,2025-09-10T19:16:31,0,low,1
94,Rose Clay,robertsdonald@example.net,SG,30,25-34,2024-06-09,True,1,407.08,407.08,0.0,2021-08-21T22:09:11,2021-08-21T22:09:11,card,desktop,social,Sports,,8,desktop,social,2020-03-26T01:36:19,2025-07-20T23:58:05,0,medium,0
95,William Robles,freed@example.net,MX,54,45-54,2025-01-13,True,2,500.47,250.24,15.0,2022-05-17T06:44:23,2025-02-08T20:36:55,card,desktop,organic,Sports,,7,mobile,organic,2021-04-28T20:47:16,2025-07-27T18:37:56,0,medium,1
96,Rebecca Gonzalez,kylebrown@example.com,AU,44,35-44,2022-03-05,True,0,0.0,0.0,0.0,,,,,,,,7,mobile,organic,2021-02-13T18:10:09,2025-05-02T05:46:08,1,no_purchase,0
97,Daniel Scott,connersteve@example.org,GB,70,55+,2024-06-15,True,2,278.23,139.12,0.0,2020-11-17T04:26:33,2022-08-31T22:46:15,card,desktop,direct,Books,,7,mobile,organic,2020-11-17T03:18:33,2024-12-27T17:02:21,0,medium,1
98,Heather Brown,qriley@example.net,AU,48,45-54,2020-06-26,True,1,59.52,59.52,15.0,2022-01-07T20:17:52,2022-01-07T20:17:52,card,desktop,direct,Toys,,5,desktop,direct,2022-01-07T19:47:52,2025-02-18T21:43:45,0,low,0
99,Jonathan Harris,jameswhite@example.net,BR,18,18-24,2022-10-16,True,4,730.92,182.73,7.5,2021-11-09T03:05:19,2025-09-26T21:51:21,card,mobile,organic,Beauty,,10,mobile,organic,2021-11-09T01:06:19,2025-09-26T20:09:21,0,medium,1
100,Kenneth Howard,johnlivingston@example.com,IN,63,55+,2022-11-22,False,4,297.38,74.34,3.75,2020-10-23T05:31:57,2024-03-02T11:03:50,card,mobile,direct,Books,3.25,5,mobile,direct,2020-10-23T03:05:57,2024-03-02T09:25:50,0,medium,1
101,Brian Chen,moorecarla@example.com,ES,38,35-44,2021-07-14,False,4,601.57,150.39,13.75,2021-06-29T04:47:18,2025-03-11T15:09:53,card,mobile,direct,Beauty,3.5,8,mobile,direct,2021-05-03T04:10:08,2025-03-11T13:08:53,0,medium,1
102,Lawrence Davis,veronicacline@example.com,SG,23,18-24,2021-12-24,False,4,404.15,101.04,7.5,2021-01-03T06:58:16,2024-12-10T11:53:16,card,mobile,direct,Beauty,,6,mobile,direct,2021-01-03T06:26:16,2025-06-13T15:12:01,0,medium,1
103,Cindy Schaefer,ronald79@example.net,SE,43,35-44,2021-10-05,False,1,12.37,12.37,15.0,2023-06-05T15:09:35,2023-06-05T15:09:35,card,mobile,organic,Sports,4.0,5,mobile,direct,2020-04-24T04:38:07,2024-06-12T17:06:10,0,low,0
104,Dawn Johnson,virginiagray@example.org,DE,63,55+,2021-12-23,True,2,145.17,72.59,5.0,2021-09-27T06:35:14,2022-08-24T08:57:48,card,desktop,direct,Toys,,5,mobile,direct,2020-04-06T01:55:14,2025-01-20T21:16:00,0,low,1
105,Justin Harrell,etucker@example.net,ES,41,35-44,2025-08-22,True,1,324.03,324.03,10.0,2020-01-21T05:35:28,2020-01-21T05:35:28,card,mobile,paid,Toys,,4,desktop,organic,2020-01-21T03:51:28,2025-03-06T08:04:23,0,medium,0
